,full_name,city_full_name,state_full_name,followers_count,friends_count,favourites_count,retweet_count,favorite_count,tweet_count
126,"Miguel Hidalgo, Distrito Federal",Miguel Hidalgo,Distrito Federal,9921.222222222223,1274.2777777777778,19419.277777777777,0.2222222222222222,3.111111111111111,18
127,"Minatitlán, Veracruz de Ignacio de la Llave",Minatitlán,Veracruz de Ignacio de la Llave,355.0,437.0,22260.0,0.0,0.0,1
128,"Mineral de la Reforma, Hidalgo",Mineral de la Reforma,Hidalgo,465.0,452.0,14322.0,0.0,1.0,1
129,"Mineral del Monte, Hidalgo",Mineral del Monte,Hidalgo,111.0,993.0,95.0,0.0,0.0,1
130,"Monclova, Coahuila de Zaragoza",Monclova,Coahuila de Zaragoza,1426.0,463.0,1254.0,1.0,17.0,1
131,"Montemorelos, Nuevo León",Montemorelos,Nuevo León,1273.5,825.0,9210.5,0.0,3.0,2
132,"Monterrey, Nuevo León",Monterrey,Nuevo León,1770.3023255813953,1330.1860465116279,37994.813953488374,0.13953488372093023,1.5813953488372092,43
133,"Morelia, Michoacán de Ocampo",Morelia,Michoacán de Ocampo,1845.111111111111,1198.5555555555557,3556.6666666666665,0.0,0.7777777777777778,9
134,"Mulegé, Baja California Sur",Mulegé,Baja California Sur,1167.0,1443.0,33129.0,0.0,1.0,1
135,"Mérida, Yucatán",Mérida,Yucatán,1888.9333333333334,1406.8666666666666,12729.4,0.8,7.866666666666666,15
136,"Nacajuca, Tabasco",Nacajuca,Tabasco,847.0,683.0,62189.0,0.0,0.0,1
137,"Naucalpan de Juárez, México",Naucalpan de Juárez,México,365.3333333333333,714.8333333333334,11110.166666666666,0.16666666666666666,0.5,6
138,"Navojoa, Sonora",Navojoa,Sonora,1093.0,874.0,3105.0,0.0,1.0,1
139,"Navolato, Sinaloa",Navolato,Sinaloa,588.0,555.0,6348.5,0.0,2.5,2
140,"Nezahualcóyotl, México",Nezahualcóyotl,México,225.66666666666666,160.0,19154.666666666668,0.3333333333333333,0.6666666666666666,3
141,"Nochistlán de Mejía, Zacatecas",Nochistlán de Mejía,Zacatecas,1491.0,1094.0,6703.0,0.0,0.0,1
142,"Nogales, Sonora",Nogales,Sonora,417.6666666666667,344.6666666666667,7872.0,0.0,3.3333333333333335,3
143,"Nuevo Laredo, Tamaulipas",Nuevo Laredo,Tamaulipas,795.0,1185.0,1436.5,0.0,0.5,2
144,"Oaxaca de Juárez, Oaxaca",Oaxaca de Juárez,Oaxaca,234.5,919.0,5031.0,0.0,0.0,4
145,"Othón P. Blanco, Quintana Roo",Othón P. Blanco,Quintana Roo,1872.5,2854.5,8527.5,0.5,1.0,2
146,"Otzolotepec, México",Otzolotepec,México,1520.0,1793.6666666666667,29116.666666666668,0.0,0.0,3
147,"Pachuca de Soto, Hidalgo",Pachuca de Soto,Hidalgo,1448.0,570.0,1722.0,0.3333333333333333,0.3333333333333333,3
148,"Palenque, Chiapas",Palenque,Chiapas,1025.0,1073.0,4745.0,0.0,0.0,1
150,"Paraíso, Tabasco",Paraíso,Tabasco,823.0,1190.0,28234.0,0.0,0.0,1
154,"Poza Rica de Hidalgo, Veracruz de Ignacio de la Llave",Poza Rica de Hidalgo,Veracruz de Ignacio de la Llave,338.5,423.25,2029.0,0.25,1.25,4
156,"Progreso, Yucatán",Progreso,Yucatán,434.5,489.0,1189.5,0.0,0.0,2
157,"Puebla, México",Puebla,México,816.1153846153846,1062.7307692307693,10458.384615384615,0.23076923076923078,2.769230769230769,26
158,"Puerto Vallarta, Jalisco",Puerto Vallarta,Jalisco,23.0,13.0,11.0,0.0,1.0,1
159,"Purépero, Michoacán de Ocampo",Purépero,Michoacán de Ocampo,188.0,243.0,12527.0,0.0,3.0,2
160,"Querétaro, Querétaro Arteaga",Querétaro,Querétaro Arteaga,1745.4166666666667,792.0833333333334,43555.25,0.08333333333333333,1.3333333333333333,12
162,"Quintana Roo, México",Quintana Roo,México,1038.6666666666667,441.1666666666667,20741.666666666668,0.0,5.666666666666667,6
164,"Reynosa, Tamaulipas",Reynosa,Tamaulipas,423.0,948.0,11011.0,2.0,1.0,1
165,"Río Bravo, Tamaulipas",Río Bravo,Tamaulipas,99.5,174.0,6912.0,0.0,0.0,2
166,"Salamanca, Guanajuato",Salamanca,Guanajuato,405.5,503.0,7108.0,0.0,3.5,2
167,"Salina Cruz, Oaxaca",Salina Cruz,Oaxaca,211.0,487.0,1254.0,0.0,1.0,1
168,"Saltillo, Coahuila de Zaragoza",Saltillo,Coahuila de Zaragoza,366.85714285714283,604.4285714285714,7521.142857142857,1.2857142857142858,1.4285714285714286,7
169,"San Andrés Huayápam, Oaxaca",San Andrés Huayápam,Oaxaca,1403.0,816.0,44416.0,0.0,0.0,1
170,"San Andrés Tuxtla, Veracruz de Ignacio de la Llave",San Andrés Tuxtla,Veracruz de Ignacio de la Llave,209.5,889.0,19693.5,0.0,1.0,2
171,"San Antonio de la Cal, Oaxaca",San Antonio de la Cal,Oaxaca,240.0,255.0,1531.0,0.0,1.0,2
172,"San Ignacio, Sinaloa",San Ignacio,Sinaloa,10983.0,1899.0,6040.0,0.0,13.0,1
173,"San Juan Bautista Tuxtepec, Oaxaca",San Juan Bautista Tuxtepec,Oaxaca,420.0,638.0,14651.0,0.0,11.0,1
174,"San Juan del Río, Querétaro Arteaga",San Juan del Río,Querétaro Arteaga,181.0,816.0,16987.0,0.0,1.0,1
175,"San Luis Potosí, México",San Luis Potosí,México,1779.7777777777778,1696.0,8557.222222222223,0.2222222222222222,1.4444444444444444,9
176,"San Miguel de Allende, Guanajuato",San Miguel de Allende,Guanajuato,810.25,367.75,7330.25,0.0,4.75,4
177,"San Nicolás de los Garza, Nuevo León",San Nicolás de los Garza,Nuevo León,1203.5,660.15,28238.4,0.25,5.45,20
178,"San Pedro Garza García, Nuevo León",San Pedro Garza García,Nuevo León,246.66666666666666,516.3333333333334,11315.666666666666,0.0,0.6666666666666666,3
179,"Santa Catarina, Nuevo León",Santa Catarina,Nuevo León,676.6666666666666,1372.6666666666667,9130.333333333334,0.0,0.6666666666666666,3
180,"Santiago, Nuevo León",Santiago,Nuevo León,593.0,878.5,3102.0,0.0,0.5,2
181,"Solidaridad, Quintana Roo",Solidaridad,Quintana Roo,1265.090909090909,761.9090909090909,10920.636363636364,0.45454545454545453,1.0909090909090908,11
184,"Tala, Jalisco",Tala,Jalisco,533.0,2743.0,20531.0,0.0,1.0,1
185,"Tampico, Tamaulipas",Tampico,Tamaulipas,5290.555555555556,1007.4444444444445,39689.88888888889,0.0,1.6666666666666667,9
186,"Tantoyuca, Veracruz de Ignacio de la Llave",Tantoyuca,Veracruz de Ignacio de la Llave,239.0,184.0,20618.0,0.0,2.0,1
187,"Tapachula, Chiapas",Tapachula,Chiapas,1190.0,1222.0,232.0,0.0,0.0,1
188,"Tecate, Baja California",Tecate,Baja California,472.5,1670.0,15692.0,1.0,13.0,2
189,"Tecolotlán, Jalisco",Tecolotlán,Jalisco,684.0,979.0,4985.0,0.0,11.0,1
190,"Tecozautla, Hidalgo",Tecozautla,Hidalgo,1354.0,132.0,7045.0,1.0,1.0,1
191,"Tecámac, México",Tecámac,México,307.0,448.6666666666667,15434.666666666666,3.6666666666666665,4.333333333333333,3
192,"Tenosique, Tabasco",Tenosique,Tabasco,240.0,1756.0,4435.0,0.0,1.5,2
193,"Tepeaca, Puebla",Tepeaca,Puebla,2056.0,1939.0,58561.0,0.0,1.0,3
194,"Tepic, Nayarit",Tepic,Nayarit,174.75,871.25,4865.0,0.0,2.0,4
195,"Tepotzotlán, México",Tepotzotlán,México,448.0,656.0,348.0,1.0,0.0,1
196,"Tequila, Jalisco",Tequila,Jalisco,143.0,310.0,2252.0,0.0,1.0,1
197,"Tierra Blanca, Veracruz de Ignacio de la Llave",Tierra Blanca,Veracruz de Ignacio de la Llave,135.0,693.0,498.0,0.0,1.0,1
198,"Tijuana, Baja California",Tijuana,Baja California,250.4,583.4,18403.4,0.0,1.4,5
199,"Tinum, Yucatán",Tinum,Yucatán,1764.0,292.0,1927.0,0.0,3.0,1
200,"Tlajomulco de Zúñiga, Jalisco",Tlajomulco de Zúñiga,Jalisco,1010.7142857142857,956.4285714285714,83041.57142857143,0.0,0.8571428571428571,7
201,"Tlalnepantla de Baz, México",Tlalnepantla de Baz,México,2085.625,1434.75,27973.625,0.0,0.375,8
202,"Tlalpan, Distrito Federal",Tlalpan,Distrito Federal,4094.8333333333335,1013.6666666666666,18507.166666666668,0.0,1.0,18
203,"Tlaquepaque, Jalisco",Tlaquepaque,Jalisco,7477.0,1641.0,59723.333333333336,0.0,0.6666666666666666,3
204,"Tlatlauquitepec, Puebla",Tlatlauquitepec,Puebla,106.5,446.25,658.25,0.0,0.0,4
205,"Tláhuac, Distrito Federal",Tláhuac,Distrito Federal,2548.0,70.0,411.0,0.0,1.0,1
206,"Toluca, México",Toluca,México,971.3333333333334,891.6666666666666,20161.166666666668,4.666666666666667,18.333333333333332,6
208,"Torreón, Coahuila de Zaragoza",Torreón,Coahuila de Zaragoza,21789.625,871.75,10123.125,0.0,1.375,8
209,"Totolapan, Morelos",Totolapan,Morelos,1884.0,1939.0,17764.0,0.0,1.5,2
210,"Tula de Allende, Hidalgo",Tula de Allende,Hidalgo,6223.0,311.0,1390.0,0.0,0.0,4
211,"Tulancingo de Bravo, Hidalgo",Tulancingo de Bravo,Hidalgo,740.0,1815.0,8156.0,0.0,0.0,1
212,"Tultepec, México",Tultepec,México,499.0,651.0,2861.0,0.0,0.0,1
213,"Tultitlán, México",Tultitlán,México,27.0,150.0,930.0,0.0,2.0,1
214,"Tuxpan, Veracruz de Ignacio de la Llave",Tuxpan,Veracruz de Ignacio de la Llave,220.0,1552.0,34013.0,0.0,19.0,1
215,"Tuxtla Gutiérrez, Chiapas",Tuxtla Gutiérrez,Chiapas,23305.25,8820.25,21798.75,1.5,2.0,4
216,"Uruapan, Michoacán de Ocampo",Uruapan,Michoacán de Ocampo,42.6,189.8,187.6,0.0,0.2,5
217,"Valle Hermoso, Tamaulipas",Valle Hermoso,Tamaulipas,721.0,548.0,1217.0,0.0,0.0,2
218,"Venustiano Carranza, Distrito Federal",Venustiano Carranza,Distrito Federal,1788.5,1149.0,7839.0,0.0,1.0,2
219,"Veracruz, Veracruz de Ignacio de la Llave",Veracruz,Veracruz de Ignacio de la Llave,1672.0,1141.2727272727273,32589.18181818182,0.18181818181818182,5.181818181818182,11
220,"Victoria, Tamaulipas",Victoria,Tamaulipas,234.0,416.0,2931.0,0.0,0.0,2
221,"Villa de Álvarez, Colima",Villa de Álvarez,Colima,842.0,982.0,591717.0,0.0,1.0,1
224,"Xalapa, Veracruz de Ignacio de la Llave",Xalapa,Veracruz de Ignacio de la Llave,1449.7692307692307,1374.4615384615386,4321.576923076923,0.19230769230769232,0.9615384615384616,26
225,"Xochimilco, Distrito Federal",Xochimilco,Distrito Federal,126.5,611.5,7634.0,0.0,0.5,2
226,"Zacatecas, México",Zacatecas,México,714.5,1101.0,11706.0,0.0,9.0,2
227,"Zamora, Michoacán de Ocampo",Zamora,Michoacán de Ocampo,284.0,116.0,765.0,0.0,0.0,2
228,"Zapopan, Jalisco",Zapopan,Jalisco,1195.4375,1036.125,27619.1875,0.0,0.9375,16
229,"Zinacantepec, México",Zinacantepec,México,315.0,770.0,14060.0,0.0,0.0,1
230,"Zona Centro, San Miguel de Allende",Zona Centro,San Miguel de Allende,1824.0,4999.0,21297.0,0.0,4.0,1
231,"Álvaro Obregón, Distrito Federal",Álvaro Obregón,Distrito Federal,2483.6666666666665,946.5555555555555,27786.333333333332,0.0,0.8888888888888888,9
