,cve_ent_mun,Amenazas,Daño a la propiedad,Extorsión,Robo a negocio
2284,30192,7.0,8.0,2.0,4.0
2285,30193,749.0,965.0,62.0,2287.0
2286,30194,6.0,5.0,0.0,2.0
2287,30195,3.0,2.0,0.0,0.0
2288,30196,13.0,15.0,1.0,2.0
2289,30197,7.0,8.0,1.0,1.0
2290,30198,8.0,5.0,0.0,1.0
2291,30199,3.0,2.0,0.0,1.0
2292,30200,3.0,5.0,0.0,1.0
2293,30201,38.0,30.0,1.0,2.0
2294,30202,9.0,5.0,0.0,0.0
2295,30203,3.0,1.0,0.0,1.0
2296,30204,91.0,57.0,8.0,36.0
2297,30205,14.0,17.0,1.0,4.0
2298,30206,49.0,33.0,4.0,75.0
2299,30207,31.0,41.0,1.0,6.0
2300,30208,40.0,39.0,1.0,3.0
2301,30209,5.0,6.0,0.0,0.0
2302,30210,20.0,17.0,0.0,4.0
2303,30211,24.0,18.0,1.0,7.0
2304,30212,9.0,3.0,1.0,0.0
2305,30998,23.0,8.0,3.0,6.0
2306,30999,9.0,2.0,2.0,1.0
2307,31001,2.0,2.0,0.0,0.0
2308,31002,6.0,1.0,0.0,0.0
2309,31003,6.0,2.0,0.0,0.0
2310,31004,21.0,2.0,0.0,0.0
2311,31005,11.0,2.0,0.0,0.0
2312,31006,1.0,0.0,0.0,0.0
2313,31007,11.0,5.0,0.0,0.0
2314,31008,0.0,0.0,0.0,0.0
2315,31009,3.0,1.0,0.0,0.0
2316,31010,0.0,0.0,0.0,0.0
2317,31011,1.0,0.0,0.0,0.0
2318,31012,2.0,1.0,0.0,0.0
2319,31013,0.0,0.0,0.0,0.0
2320,31014,0.0,1.0,0.0,0.0
2321,31015,2.0,0.0,0.0,0.0
2322,31016,0.0,0.0,0.0,0.0
2323,31017,9.0,0.0,0.0,0.0
2324,31018,1.0,0.0,0.0,0.0
2325,31019,0.0,0.0,0.0,0.0
2326,31020,2.0,3.0,0.0,0.0
2327,31021,0.0,0.0,0.0,0.0
2328,31022,0.0,0.0,0.0,0.0
2329,31023,2.0,1.0,0.0,0.0
2330,31024,0.0,1.0,0.0,0.0
2331,31025,5.0,0.0,0.0,0.0
2332,31026,2.0,0.0,0.0,0.0
2333,31027,3.0,1.0,0.0,0.0
2334,31028,5.0,0.0,0.0,0.0
2335,31029,5.0,0.0,0.0,0.0
2336,31030,0.0,0.0,0.0,0.0
2337,31031,2.0,0.0,0.0,0.0
2338,31032,0.0,0.0,0.0,0.0
2339,31033,8.0,1.0,0.0,0.0
2340,31034,1.0,0.0,0.0,0.0
2341,31035,0.0,0.0,0.0,0.0
2342,31036,4.0,0.0,0.0,0.0
2343,31037,1.0,0.0,0.0,1.0
2344,31038,10.0,5.0,0.0,3.0
2345,31039,1.0,0.0,0.0,0.0
2346,31040,13.0,5.0,0.0,1.0
2347,31041,78.0,8.0,0.0,13.0
2348,31042,1.0,0.0,0.0,0.0
2349,31043,0.0,0.0,0.0,0.0
2350,31044,0.0,0.0,0.0,0.0
2351,31045,2.0,0.0,0.0,0.0
2352,31046,2.0,0.0,0.0,0.0
2353,31047,1.0,1.0,0.0,0.0
2354,31048,16.0,2.0,0.0,1.0
2355,31049,0.0,0.0,0.0,0.0
2356,31050,2201.0,1860.0,2.0,44.0
2357,31051,6.0,1.0,0.0,0.0
2358,31052,100.0,21.0,0.0,7.0
2359,31053,0.0,0.0,0.0,0.0
2360,31054,1.0,1.0,0.0,0.0
2361,31055,2.0,0.0,0.0,0.0
2362,31056,5.0,4.0,0.0,0.0
2363,31057,0.0,0.0,0.0,0.0
2364,31058,5.0,6.0,0.0,0.0
2365,31059,62.0,7.0,0.0,6.0
2366,31060,0.0,0.0,0.0,0.0
2367,31061,0.0,0.0,0.0,0.0
2368,31062,1.0,0.0,0.0,0.0
2369,31063,3.0,2.0,0.0,0.0
2370,31064,0.0,0.0,0.0,0.0
2371,31065,0.0,0.0,0.0,0.0
2372,31066,2.0,0.0,0.0,0.0
2373,31067,11.0,0.0,0.0,0.0
2374,31068,0.0,1.0,0.0,0.0
2375,31069,2.0,0.0,0.0,0.0
2376,31070,0.0,0.0,0.0,0.0
2377,31071,1.0,0.0,0.0,0.0
2378,31072,0.0,1.0,0.0,0.0
2379,31073,1.0,0.0,0.0,0.0
2380,31074,0.0,0.0,0.0,0.0
2381,31075,0.0,0.0,0.0,0.0
2382,31076,6.0,1.0,0.0,0.0
2383,31077,0.0,0.0,0.0,0.0
2384,31078,1.0,0.0,0.0,0.0
2385,31079,56.0,12.0,0.0,2.0
2386,31080,0.0,0.0,0.0,0.0
2387,31081,0.0,0.0,0.0,0.0
2388,31082,2.0,0.0,0.0,0.0
2389,31083,0.0,0.0,0.0,0.0
2390,31084,3.0,1.0,0.0,0.0
2391,31085,0.0,0.0,0.0,0.0
2392,31086,0.0,0.0,0.0,0.0
2393,31087,0.0,0.0,0.0,0.0
2394,31088,0.0,0.0,0.0,0.0
2395,31089,7.0,7.0,0.0,6.0
2396,31090,2.0,0.0,0.0,0.0
2397,31091,0.0,0.0,0.0,0.0
2398,31092,0.0,0.0,0.0,0.0
2399,31093,3.0,0.0,0.0,0.0
2400,31094,1.0,2.0,0.0,0.0
2401,31095,0.0,0.0,0.0,0.0
2402,31096,9.0,8.0,0.0,3.0
2403,31097,0.0,0.0,0.0,0.0
2404,31098,0.0,0.0,0.0,0.0
2405,31099,0.0,1.0,0.0,0.0
2406,31100,0.0,0.0,0.0,0.0
2407,31101,49.0,5.0,0.0,8.0
2408,31102,11.0,18.0,0.0,7.0
2409,31103,1.0,0.0,0.0,0.0
2410,31104,0.0,0.0,0.0,0.0
2411,31105,2.0,0.0,0.0,0.0
2412,31106,3.0,1.0,0.0,0.0
2413,32001,3.0,7.0,0.0,0.0
2414,32002,0.0,2.0,0.0,0.0
2415,32003,0.0,0.0,0.0,0.0
2416,32004,1.0,2.0,0.0,0.0
2417,32005,37.0,83.0,17.0,4.0
2418,32006,1.0,1.0,0.0,0.0
2419,32007,19.0,20.0,3.0,2.0
2420,32008,2.0,5.0,0.0,0.0
2421,32009,1.0,4.0,2.0,0.0
2422,32010,326.0,482.0,109.0,35.0
2423,32011,0.0,3.0,0.0,0.0
2424,32012,7.0,15.0,0.0,0.0
2425,32013,7.0,9.0,4.0,1.0
2426,32014,8.0,7.0,1.0,0.0
2427,32015,1.0,1.0,0.0,0.0
2428,32016,0.0,6.0,6.0,0.0
2429,32017,271.0,446.0,71.0,61.0
2430,32018,3.0,8.0,0.0,0.0
2431,32019,32.0,44.0,9.0,0.0
2432,32020,60.0,62.0,13.0,4.0
2433,32021,1.0,5.0,0.0,0.0
2434,32022,12.0,34.0,4.0,0.0
2435,32023,11.0,17.0,2.0,0.0
2436,32024,7.0,46.0,7.0,0.0
2437,32025,4.0,9.0,0.0,1.0
2438,32026,8.0,13.0,2.0,1.0
2439,32027,1.0,0.0,0.0,0.0
2440,32028,0.0,3.0,0.0,0.0
2441,32029,9.0,19.0,2.0,0.0
2442,32030,4.0,5.0,0.0,0.0
2443,32031,8.0,10.0,2.0,0.0
2444,32032,12.0,17.0,6.0,0.0
2445,32033,3.0,5.0,0.0,0.0
2446,32034,13.0,31.0,5.0,4.0
2447,32035,3.0,4.0,2.0,0.0
2448,32036,23.0,41.0,14.0,7.0
2449,32037,13.0,26.0,3.0,0.0
2450,32038,15.0,51.0,5.0,2.0
