;cve_ent_mun;Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida;Restaurantes con servicio de preparación de antojitos;Restaurantes con servicio de preparación de pescados y mariscos;Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar;Restaurantes con servicio de preparación de tacos y tortas;Restaurantes de autoservicio;Restaurantes que preparan otro tipo de alimentos para llevar
639;17016;2.0;20.0;1.0;6.0;17.0;0.0;9.0
640;17017;28.0;114.0;2.0;28.0;64.0;1.0;35.0
641;17018;30.0;184.0;17.0;81.0;147.0;8.0;109.0
642;17019;14.0;61.0;1.0;12.0;64.0;7.0;14.0
643;17020;72.0;109.0;3.0;30.0;50.0;2.0;12.0
644;17021;1.0;22.0;1.0;2.0;18.0;0.0;7.0
645;17022;11.0;30.0;2.0;15.0;57.0;3.0;8.0
646;17023;1.0;3.0;0.0;3.0;4.0;0.0;1.0
647;17024;10.0;116.0;6.0;30.0;49.0;1.0;31.0
648;17025;8.0;78.0;0.0;14.0;28.0;0.0;18.0
649;17026;27.0;55.0;2.0;9.0;16.0;0.0;8.0
650;17027;0.0;7.0;1.0;7.0;21.0;0.0;3.0
651;17028;43.0;112.0;12.0;60.0;99.0;3.0;56.0
652;17029;87.0;285.0;14.0;74.0;201.0;7.0;115.0
653;17030;33.0;68.0;2.0;34.0;92.0;3.0;26.0
654;17031;16.0;131.0;10.0;30.0;74.0;0.0;45.0
655;17032;4.0;15.0;1.0;5.0;24.0;0.0;7.0
656;17033;1.0;20.0;0.0;14.0;31.0;1.0;1.0
657;17034;3.0;9.0;3.0;4.0;10.0;0.0;3.0
658;17035;9.0;24.0;1.0;9.0;12.0;0.0;7.0
659;18001;20.0;89.0;14.0;25.0;51.0;4.0;11.0
660;18002;11.0;13.0;4.0;12.0;21.0;0.0;4.0
661;18003;12.0;4.0;5.0;6.0;18.0;0.0;4.0
662;18004;141.0;197.0;105.0;122.0;237.0;6.0;45.0
663;18005;3.0;6.0;4.0;4.0;9.0;0.0;2.0
664;18006;26.0;49.0;23.0;31.0;77.0;4.0;9.0
665;18007;14.0;30.0;2.0;8.0;12.0;0.0;6.0
666;18008;11.0;88.0;43.0;74.0;138.0;7.0;37.0
667;18009;3.0;3.0;3.0;5.0;13.0;0.0;2.0
668;18010;10.0;52.0;10.0;11.0;35.0;1.0;6.0
669;18011;11.0;86.0;14.0;19.0;27.0;1.0;9.0
670;18012;82.0;97.0;133.0;63.0;119.0;5.0;18.0
671;18013;4.0;5.0;1.0;10.0;11.0;0.0;3.0
672;18014;6.0;14.0;22.0;9.0;15.0;0.0;6.0
673;18015;56.0;259.0;129.0;106.0;304.0;2.0;27.0
674;18016;14.0;110.0;22.0;37.0;62.0;2.0;24.0
675;18017;324.0;805.0;365.0;489.0;1258.0;64.0;251.0
676;18018;20.0;122.0;38.0;40.0;98.0;3.0;14.0
677;18019;1.0;1.0;2.0;3.0;14.0;0.0;3.0
678;18020;270.0;238.0;141.0;199.0;402.0;19.0;92.0
679;19001;0.0;0.0;0.0;1.0;0.0;0.0;1.0
680;19002;4.0;0.0;0.0;2.0;1.0;0.0;0.0
681;19003;1.0;0.0;0.0;1.0;1.0;0.0;0.0
682;19004;24.0;10.0;3.0;30.0;53.0;2.0;5.0
683;19005;13.0;3.0;3.0;12.0;31.0;0.0;2.0
684;19006;171.0;267.0;58.0;334.0;557.0;55.0;52.0
685;19007;5.0;6.0;1.0;9.0;8.0;0.0;3.0
686;19008;2.0;0.0;0.0;10.0;1.0;0.0;4.0
687;19009;34.0;63.0;16.0;66.0;191.0;7.0;12.0
688;19010;9.0;7.0;3.0;12.0;10.0;0.0;2.0
689;19011;5.0;3.0;1.0;9.0;17.0;1.0;0.0
690;19012;9.0;15.0;4.0;38.0;41.0;1.0;2.0
691;19013;4.0;2.0;2.0;7.0;17.0;0.0;2.0
692;19014;12.0;15.0;1.0;23.0;26.0;2.0;3.0
693;19015;1.0;0.0;0.0;1.0;1.0;0.0;0.0
694;19016;2.0;1.0;0.0;0.0;0.0;0.0;0.0
695;19017;20.0;6.0;5.0;19.0;17.0;1.0;2.0
696;19018;30.0;65.0;15.0;135.0;167.0;11.0;12.0
697;19019;289.0;38.0;21.0;64.0;131.0;45.0;30.0
698;19020;6.0;0.0;1.0;5.0;12.0;0.0;0.0
699;19021;99.0;188.0;41.0;263.0;481.0;44.0;56.0
700;19022;6.0;4.0;4.0;15.0;25.0;1.0;1.0
701;19023;0.0;0.0;0.0;0.0;1.0;0.0;0.0
702;19024;4.0;1.0;0.0;5.0;3.0;0.0;0.0
703;19025;15.0;18.0;2.0;32.0;22.0;3.0;5.0
704;19026;209.0;355.0;98.0;479.0;893.0;100.0;122.0
705;19027;1.0;0.0;0.0;0.0;5.0;0.0;0.0
706;19028;0.0;0.0;0.0;1.0;1.0;0.0;0.0
707;19029;5.0;2.0;0.0;4.0;15.0;1.0;2.0
708;19030;3.0;1.0;0.0;0.0;0.0;0.0;2.0
709;19031;29.0;134.0;32.0;205.0;279.0;20.0;23.0
