cve_ent_mun,cve_ent,entidad,cve_mun,municipio,alimentos_carta_y_comida_corrida,antojitos,pescados_y_mariscos,comida_rapida,tacos_tortas,autoservicio,otro_tipo_para_llevar,ing_lab,ocupados,desocupados,pob,pob_muj,pob_hom,pob_0_4,pob_5_9,pob_10_14,pob_15_19,pob_20_24,pob_25_29,pob_30_34,pob_35_39,pob_40_44,pob_45_49,pob_50_54,pob_55_59,pob_60_64,pob_65_more
12070,12,Guerrero,070,Xochihuehuetlán,2.0,3.0,0.0,10.0,10.0,0.0,8.0,,,,7408.0,3937.0,3471.0,598.0,658.0,695.0,675.0,576.0,481.0,405.0,366.0,373.0,412.0,424.0,392.0,341.0,1012.0
12071,12,Guerrero,071,Xochistlahuaca,4.0,11.0,1.0,5.0,18.0,0.0,14.0,,,,30330.0,15610.0,14720.0,3009.0,3594.0,3660.0,3096.0,2482.0,2294.0,2142.0,1872.0,1669.0,1508.0,1236.0,1032.0,891.0,1845.0
12072,12,Guerrero,072,Zapotitlán Tablas,0.0,1.0,0.0,1.0,3.0,0.0,9.0,,,,12845.0,6737.0,6108.0,1640.0,1692.0,1560.0,1307.0,1089.0,995.0,874.0,704.0,584.0,506.0,415.0,364.0,310.0,805.0
12073,12,Guerrero,073,Zirándaro,6.0,26.0,2.0,4.0,5.0,0.0,13.0,,,,18107.0,8851.0,9256.0,1523.0,1651.0,1781.0,1699.0,1403.0,1219.0,1157.0,1091.0,1004.0,939.0,874.0,824.0,743.0,2199.0
12074,12,Guerrero,074,Zitlala,0.0,14.0,0.0,3.0,10.0,0.0,6.0,1553.55,42812.0,,23988.0,12670.0,11318.0,2602.0,2840.0,2850.0,2403.0,1891.0,1675.0,1543.0,1338.0,1140.0,1025.0,937.0,872.0,780.0,2092.0
12075,12,Guerrero,075,Eduardo Neri,18.0,112.0,11.0,19.0,67.0,0.0,50.0,,,,53278.0,27202.0,26076.0,5012.0,4979.0,5021.0,5075.0,4918.0,4635.0,4094.0,3510.0,3038.0,2754.0,2486.0,2166.0,1690.0,3900.0
12076,12,Guerrero,076,Acatepec,1.0,4.0,0.0,4.0,8.0,0.0,9.0,,,,38802.0,19839.0,18963.0,5466.0,5615.0,5173.0,4356.0,3507.0,2957.0,2403.0,1884.0,1572.0,1400.0,1152.0,918.0,748.0,1651.0
12077,12,Guerrero,077,Marquelia,13.0,23.0,0.0,11.0,26.0,0.0,16.0,,,,14322.0,7202.0,7120.0,1437.0,1426.0,1415.0,1358.0,1216.0,1133.0,1013.0,860.0,766.0,732.0,681.0,600.0,490.0,1195.0
12078,12,Guerrero,078,Cochoapa el Grande,0.0,0.0,0.0,3.0,1.0,0.0,1.0,2521.25,17096.0,,19311.0,10128.0,9183.0,3062.0,3123.0,2444.0,1819.0,1481.0,1351.0,1137.0,928.0,791.0,641.0,471.0,375.0,331.0,1357.0
12079,12,Guerrero,079,José Joaquín de Herrera,1.0,8.0,1.0,1.0,6.0,0.0,4.0,,,,17971.0,9068.0,8903.0,2404.0,2469.0,2293.0,1901.0,1532.0,1343.0,1154.0,928.0,768.0,683.0,584.0,509.0,446.0,957.0
12080,12,Guerrero,080,Juchitán,7.0,6.0,0.0,3.0,7.0,0.0,0.0,,,,7962.0,3941.0,4021.0,773.0,792.0,810.0,772.0,645.0,549.0,485.0,414.0,367.0,361.0,357.0,358.0,346.0,933.0
12081,12,Guerrero,081,Iliatenco,5.0,4.0,0.0,6.0,18.0,0.0,6.0,,,,11338.0,5938.0,5400.0,1137.0,1487.0,1526.0,1257.0,913.0,776.0,715.0,602.0,522.0,485.0,425.0,369.0,323.0,801.0
13001,13,Hidalgo,001,Acatlán,0.0,9.0,0.0,5.0,5.0,0.0,6.0,5055.42,28705.0,655.0,22291.0,11541.0,10750.0,2200.0,2214.0,2196.0,2035.0,1767.0,1614.0,1535.0,1439.0,1337.0,1268.0,1122.0,969.0,819.0,1776.0
13002,13,Hidalgo,002,Acaxochitlán,2.0,16.0,1.0,9.0,22.0,0.0,9.0,4209.73,9030.0,,46695.0,24260.0,22435.0,5268.0,5355.0,5147.0,4602.0,4088.0,3844.0,3390.0,2830.0,2415.0,2177.0,1866.0,1572.0,1313.0,2828.0
13003,13,Hidalgo,003,Actopan,34.0,204.0,7.0,49.0,59.0,2.0,97.0,4933.71,11144.0,,61950.0,32554.0,29396.0,5271.0,5191.0,5296.0,5522.0,5336.0,4866.0,4428.0,4203.0,3989.0,3848.0,3534.0,2979.0,2314.0,5173.0
13004,13,Hidalgo,004,Agua Blanca de Iturbide,1.0,6.0,1.0,3.0,3.0,0.0,4.0,3167.92,17387.0,,9772.0,5138.0,4634.0,906.0,979.0,973.0,873.0,739.0,710.0,691.0,626.0,561.0,510.0,450.0,411.0,374.0,969.0
13005,13,Hidalgo,005,Ajacuba,1.0,29.0,2.0,19.0,10.0,1.0,16.0,,,,20099.0,10267.0,9832.0,1563.0,1563.0,1646.0,1714.0,1658.0,1567.0,1484.0,1415.0,1311.0,1209.0,1073.0,939.0,816.0,2141.0
13006,13,Hidalgo,006,Alfajayucan,1.0,5.0,0.0,8.0,3.0,0.0,3.0,,,,22369.0,11515.0,10854.0,1833.0,1876.0,1889.0,1813.0,1587.0,1502.0,1480.0,1430.0,1422.0,1408.0,1261.0,1133.0,1031.0,2704.0
13007,13,Hidalgo,007,Almoloya,2.0,17.0,0.0,2.0,5.0,0.0,5.0,3440.12,14025.0,561.0,13256.0,6667.0,6589.0,1180.0,1179.0,1204.0,1181.0,1089.0,1019.0,967.0,903.0,824.0,759.0,668.0,583.0,505.0,1195.0
13008,13,Hidalgo,008,Apan,29.0,67.0,5.0,21.0,43.0,2.0,27.0,6312.1,13820.0,397.0,48485.0,25224.0,23261.0,4014.0,4084.0,4160.0,4072.0,3833.0,3697.0,3577.0,3479.0,3294.0,3079.0,2728.0,2338.0,1932.0,4198.0
13009,13,Hidalgo,009,El Arenal,2.0,40.0,0.0,4.0,2.0,1.0,5.0,,,,20437.0,10652.0,9785.0,1921.0,1902.0,1881.0,1863.0,1770.0,1690.0,1551.0,1386.0,1261.0,1181.0,1033.0,837.0,662.0,1499.0
13010,13,Hidalgo,010,Atitalaquia,20.0,48.0,2.0,13.0,13.0,0.0,29.0,8753.3,12075.0,,32608.0,16473.0,16135.0,2535.0,2627.0,2710.0,2729.0,2725.0,2759.0,2631.0,2409.0,2238.0,2177.0,1984.0,1648.0,1243.0,2193.0
13011,13,Hidalgo,011,Atlapexco,5.0,26.0,0.0,10.0,13.0,1.0,5.0,3901.62,8640.0,,21854.0,11332.0,10522.0,1788.0,1994.0,2130.0,1975.0,1645.0,1484.0,1355.0,1177.0,1103.0,1126.0,1156.0,1230.0,1181.0,2510.0
13012,13,Hidalgo,012,Atotonilco el Grande,6.0,25.0,1.0,18.0,18.0,0.0,22.0,4626.29,5712.0,,29754.0,15697.0,14057.0,2562.0,2582.0,2672.0,2583.0,2336.0,2178.0,2058.0,1965.0,1882.0,1811.0,1613.0,1415.0,1232.0,2865.0
13013,13,Hidalgo,013,Atotonilco de Tula,19.0,69.0,4.0,30.0,20.0,2.0,34.0,5749.74,36525.0,1134.0,41658.0,21405.0,20253.0,3753.0,3793.0,3706.0,3536.0,3361.0,3512.0,3624.0,3413.0,2989.0,2546.0,2046.0,1601.0,1259.0,2519.0
13014,13,Hidalgo,014,Calnali,3.0,3.0,0.0,7.0,4.0,0.0,9.0,4320.28,13248.0,,18862.0,9778.0,9084.0,1440.0,1703.0,1756.0,1532.0,1221.0,1166.0,1149.0,1015.0,933.0,991.0,1062.0,1126.0,1111.0,2657.0
13015,13,Hidalgo,015,Cardonal,0.0,5.0,0.0,4.0,4.0,0.0,5.0,,,,20061.0,10454.0,9607.0,1686.0,1716.0,1750.0,1693.0,1480.0,1363.0,1330.0,1302.0,1267.0,1235.0,1128.0,1015.0,914.0,2182.0
13016,13,Hidalgo,016,Cuautepec de Hinojosa,13.0,55.0,6.0,28.0,36.0,2.0,26.0,4642.05,17218.0,,63061.0,32976.0,30085.0,5743.0,5915.0,6028.0,5901.0,5290.0,4831.0,4537.0,4236.0,3869.0,3543.0,3119.0,2730.0,2294.0,5025.0
13017,13,Hidalgo,017,Chapantongo,0.0,4.0,0.0,6.0,3.0,0.0,3.0,,,,14844.0,7621.0,7223.0,1200.0,1198.0,1208.0,1149.0,1030.0,995.0,997.0,984.0,953.0,929.0,852.0,761.0,702.0,1886.0
13018,13,Hidalgo,018,Chapulhuacán,10.0,15.0,1.0,8.0,13.0,2.0,10.0,2580.0,18610.0,,25705.0,12778.0,12927.0,2482.0,2528.0,2583.0,2438.0,2049.0,1790.0,1629.0,1447.0,1310.0,1266.0,1210.0,1156.0,1070.0,2747.0
13019,13,Hidalgo,019,Chilcuautla,6.0,5.0,0.0,4.0,5.0,0.0,1.0,4333.64,11088.0,,19846.0,10106.0,9740.0,1734.0,1738.0,1801.0,1782.0,1630.0,1523.0,1444.0,1332.0,1217.0,1156.0,1051.0,924.0,797.0,1717.0
13020,13,Hidalgo,020,Eloxochitlán,0.0,1.0,0.0,0.0,2.0,0.0,0.0,,,,3006.0,1600.0,1406.0,219.0,217.0,210.0,200.0,178.0,173.0,180.0,176.0,171.0,184.0,192.0,183.0,173.0,550.0
13021,13,Hidalgo,021,Emiliano Zapata,8.0,15.0,1.0,6.0,15.0,1.0,17.0,,,,15985.0,8396.0,7589.0,1277.0,1389.0,1416.0,1321.0,1194.0,1168.0,1177.0,1163.0,1120.0,1055.0,890.0,738.0,633.0,1444.0
13022,13,Hidalgo,022,Epazoyucan,1.0,8.0,0.0,5.0,2.0,0.0,7.0,,,,16271.0,8364.0,7907.0,1348.0,1377.0,1351.0,1325.0,1294.0,1301.0,1268.0,1185.0,1072.0,1002.0,889.0,739.0,607.0,1513.0
13023,13,Hidalgo,023,Francisco I. Madero,5.0,80.0,1.0,32.0,28.0,2.0,25.0,,,,39335.0,20520.0,18815.0,3170.0,3178.0,3315.0,3511.0,3400.0,3099.0,2821.0,2641.0,2522.0,2536.0,2350.0,1948.0,1513.0,3331.0
13024,13,Hidalgo,024,Huasca de Ocampo,12.0,4.0,1.0,3.0,1.0,0.0,0.0,,,,19262.0,10060.0,9202.0,1830.0,1823.0,1801.0,1749.0,1550.0,1377.0,1242.0,1186.0,1191.0,1184.0,1021.0,836.0,725.0,1747.0
13025,13,Hidalgo,025,Huautla,2.0,17.0,0.0,3.0,17.0,0.0,4.0,3271.09,46365.0,,23323.0,12140.0,11183.0,1649.0,1864.0,2051.0,1880.0,1408.0,1245.0,1316.0,1283.0,1196.0,1171.0,1222.0,1409.0,1546.0,4083.0
13026,13,Hidalgo,026,Huazalingo,0.0,3.0,0.0,2.0,2.0,0.0,1.0,,,,15173.0,7769.0,7404.0,1410.0,1667.0,1713.0,1441.0,1119.0,1063.0,1026.0,849.0,699.0,675.0,686.0,710.0,688.0,1427.0
13027,13,Hidalgo,027,Huehuetla,2.0,7.0,0.0,3.0,13.0,0.0,4.0,,,,27555.0,14222.0,13333.0,2281.0,2731.0,3053.0,2629.0,1975.0,1796.0,1738.0,1540.0,1409.0,1442.0,1434.0,1374.0,1243.0,2910.0
13028,13,Hidalgo,028,Huejutla de Reyes,60.0,130.0,7.0,65.0,172.0,2.0,68.0,2695.15,49342.0,494.0,140867.0,71604.0,69263.0,12627.0,13599.0,13850.0,13113.0,11728.0,10903.0,9878.0,8611.0,7888.0,7836.0,7409.0,6638.0,5418.0,11369.0
13029,13,Hidalgo,029,Huichapan,28.0,34.0,4.0,23.0,25.0,1.0,20.0,6910.95,29834.0,1156.0,50299.0,26196.0,24103.0,4040.0,4247.0,4317.0,4296.0,3925.0,3589.0,3469.0,3548.0,3553.0,3309.0,2791.0,2366.0,2010.0,4839.0
13030,13,Hidalgo,030,Ixmiquilpan,74.0,201.0,11.0,98.0,105.0,6.0,120.0,2795.16,46920.0,475.0,100871.0,53267.0,47604.0,8785.0,8731.0,9092.0,9305.0,8723.0,7923.0,7245.0,6810.0,6558.0,6402.0,5664.0,4568.0,3525.0,7540.0
13031,13,Hidalgo,031,Jacala de Ledezma,16.0,10.0,2.0,10.0,7.0,0.0,8.0,,,,14640.0,7711.0,6929.0,1129.0,1156.0,1220.0,1205.0,1055.0,958.0,901.0,861.0,873.0,910.0,856.0,777.0,719.0,2020.0
13032,13,Hidalgo,032,Jaltocán,1.0,18.0,0.0,5.0,13.0,0.0,3.0,1000.0,6595.0,,12947.0,6560.0,6387.0,1080.0,1193.0,1223.0,1146.0,952.0,872.0,866.0,797.0,725.0,711.0,691.0,670.0,602.0,1419.0
13033,13,Hidalgo,033,Juárez Hidalgo,0.0,1.0,0.0,1.0,0.0,0.0,2.0,,,,3447.0,1800.0,1647.0,267.0,304.0,310.0,258.0,189.0,186.0,213.0,220.0,211.0,194.0,174.0,165.0,169.0,587.0
13034,13,Hidalgo,034,Lolotla,1.0,1.0,0.0,0.0,0.0,0.0,3.0,,,,10305.0,5277.0,5028.0,913.0,940.0,960.0,918.0,794.0,719.0,643.0,551.0,512.0,534.0,536.0,530.0,503.0,1252.0
