Municipality ID,Municipality,Population Age Range ID,Population Age Range,Sex ID,Sex,Projected Population
1006,Pabellón de Arteaga,7,30 to 34 years,2,Female,1995
1006,Pabellón de Arteaga,8,35 to 39 years,1,Male,1566
1006,Pabellón de Arteaga,8,35 to 39 years,2,Female,1722
1006,Pabellón de Arteaga,9,40 to 44 years,1,Male,1340
1006,Pabellón de Arteaga,9,40 to 44 years,2,Female,1496
1006,Pabellón de Arteaga,10,45 to 49 years,1,Male,1253
1006,Pabellón de Arteaga,10,45 to 49 years,2,Female,1385
1006,Pabellón de Arteaga,11,50 to 54 years,1,Male,1064
1006,Pabellón de Arteaga,11,50 to 54 years,2,Female,1211
1006,Pabellón de Arteaga,12,55 to 59 years,1,Male,834
1006,Pabellón de Arteaga,12,55 to 59 years,2,Female,978
1006,Pabellón de Arteaga,13,60 to 64 years,1,Male,670
1006,Pabellón de Arteaga,13,60 to 64 years,2,Female,768
1006,Pabellón de Arteaga,14,65 or more years,1,Male,1512
1006,Pabellón de Arteaga,14,65 or more years,2,Female,1749
1007,Rincón de Romos,1,0 to 4 years,1,Male,2906
1007,Rincón de Romos,1,0 to 4 years,2,Female,2735
1007,Rincón de Romos,2,5 to 9 years,1,Male,3069
1007,Rincón de Romos,2,5 to 9 years,2,Female,2822
1007,Rincón de Romos,3,10 to 14 years,1,Male,3125
1007,Rincón de Romos,3,10 to 14 years,2,Female,2847
1007,Rincón de Romos,4,15 to 19 years,1,Male,3043
1007,Rincón de Romos,4,15 to 19 years,2,Female,2867
1007,Rincón de Romos,5,20 to 24 years,1,Male,2749
1007,Rincón de Romos,5,20 to 24 years,2,Female,2719
1007,Rincón de Romos,6,25 to 29 years,1,Male,2459
1007,Rincón de Romos,6,25 to 29 years,2,Female,2531
1007,Rincón de Romos,7,30 to 34 years,1,Male,2138
1007,Rincón de Romos,7,30 to 34 years,2,Female,2304
1007,Rincón de Romos,8,35 to 39 years,1,Male,1796
1007,Rincón de Romos,8,35 to 39 years,2,Female,1997
1007,Rincón de Romos,9,40 to 44 years,1,Male,1533
1007,Rincón de Romos,9,40 to 44 years,2,Female,1726
1007,Rincón de Romos,10,45 to 49 years,1,Male,1397
1007,Rincón de Romos,10,45 to 49 years,2,Female,1574
1007,Rincón de Romos,11,50 to 54 years,1,Male,1224
1007,Rincón de Romos,11,50 to 54 years,2,Female,1354
1007,Rincón de Romos,12,55 to 59 years,1,Male,1030
1007,Rincón de Romos,12,55 to 59 years,2,Female,1107
1007,Rincón de Romos,13,60 to 64 years,1,Male,827
1007,Rincón de Romos,13,60 to 64 years,2,Female,891
1007,Rincón de Romos,14,65 or more years,1,Male,1818
1007,Rincón de Romos,14,65 or more years,2,Female,2012
1008,San José de Gracia,1,0 to 4 years,1,Male,487
1008,San José de Gracia,1,0 to 4 years,2,Female,473
1008,San José de Gracia,2,5 to 9 years,1,Male,477
1008,San José de Gracia,2,5 to 9 years,2,Female,482
1008,San José de Gracia,3,10 to 14 years,1,Male,495
1008,San José de Gracia,3,10 to 14 years,2,Female,511
1008,San José de Gracia,4,15 to 19 years,1,Male,481
1008,San José de Gracia,4,15 to 19 years,2,Female,517
1008,San José de Gracia,5,20 to 24 years,1,Male,420
1008,San José de Gracia,5,20 to 24 years,2,Female,469
1008,San José de Gracia,6,25 to 29 years,1,Male,371
1008,San José de Gracia,6,25 to 29 years,2,Female,412
1008,San José de Gracia,7,30 to 34 years,1,Male,327
1008,San José de Gracia,7,30 to 34 years,2,Female,362
1008,San José de Gracia,8,35 to 39 years,1,Male,282
1008,San José de Gracia,8,35 to 39 years,2,Female,314
1008,San José de Gracia,9,40 to 44 years,1,Male,249
1008,San José de Gracia,9,40 to 44 years,2,Female,279
1008,San José de Gracia,10,45 to 49 years,1,Male,229
1008,San José de Gracia,10,45 to 49 years,2,Female,262
1008,San José de Gracia,11,50 to 54 years,1,Male,198
1008,San José de Gracia,11,50 to 54 years,2,Female,224
1008,San José de Gracia,12,55 to 59 years,1,Male,162
1008,San José de Gracia,12,55 to 59 years,2,Female,172
1008,San José de Gracia,13,60 to 64 years,1,Male,134
1008,San José de Gracia,13,60 to 64 years,2,Female,138
1008,San José de Gracia,14,65 or more years,1,Male,427
1008,San José de Gracia,14,65 or more years,2,Female,417
1009,Tepezalá,1,0 to 4 years,1,Male,1110
