"imun","idmes","asegurados","casos_diarios_prom","muertos_diarios_prom","hospitalizados_diarios_prom","tasa_empleabilidad"
4006,201904,961,0,0,0,33
4006,201905,968,0,0,0,7
4006,201906,990,0,0,0,22
4006,201907,1043,0,0,0,53
4006,201908,1040,0,0,0,-3
4006,201909,1099,0,0,0,59
4006,201910,1113,0,0,0,14
4006,201911,1124,0,0,0,11
4006,201912,1126,0,0,0,2
4006,202001,1105,0,0,0,-21
4006,202002,1167,0,0,0,62
4006,202003,1189,0,0,0,22
4006,202004,1191,0,0,0,2
4006,202005,1171,2,1,1,-20
4006,202006,1129,23,1,6,-42
4006,202007,1118,80,8,28,-11
4006,202008,1129,42,8,14,11
4006,202009,1155,8,3,3,26
4006,202010,1195,1,0,0,40
4007,201901,312,0,0,0,0
4007,201902,314,0,0,0,2
4007,201903,316,0,0,0,2
4007,201904,312,0,0,0,-4
4007,201905,307,0,0,0,-5
4007,201906,305,0,0,0,-2
4007,201907,402,0,0,0,97
4007,201908,541,0,0,0,139
4007,201909,541,0,0,0,0
4007,201910,557,0,0,0,16
4007,201911,506,0,0,0,-51
4007,201912,450,0,0,0,-56
4007,202001,475,0,0,0,25
4007,202002,496,0,0,0,21
4007,202003,504,0,0,0,8
4007,202004,503,0,0,0,-1
4007,202005,530,7,2,2,27
4007,202006,526,1,0,1,-4
4007,202007,535,32,0,3,9
4007,202008,544,4,1,2,9
4007,202009,603,5,0,0,59
4007,202010,721,0,0,0,118
4008,201901,1002,0,0,0,0
4008,201902,1010,0,0,0,8
4008,201903,1022,0,0,0,12
4008,201904,1035,0,0,0,13
4008,201905,1003,0,0,0,-32
4008,201906,1004,0,0,0,1
4008,201907,1014,0,0,0,10
4008,201908,1024,0,0,0,10
4008,201909,1014,0,0,0,-10
4008,201910,1157,0,0,0,143
4008,201911,1170,0,0,0,13
4008,201912,1181,0,0,0,11
4008,202001,1168,0,0,0,-13
4008,202002,1164,0,0,0,-4
4008,202003,1186,0,0,0,22
4008,202004,1221,1,0,0,35
4008,202005,1240,6,0,1,19
4008,202006,1271,30,3,4,31
4008,202007,1194,11,2,5,-77
4008,202008,1151,3,0,2,-43
4008,202009,1164,2,0,1,13
4008,202010,1144,2,1,2,-20
4009,201901,1767,0,0,0,0
4009,201902,1750,0,0,0,-17
4009,201903,1764,0,0,0,14
4009,201904,1783,0,0,0,19
4009,201905,1825,0,0,0,42
4009,201906,1826,0,0,0,1
4009,201907,1848,0,0,0,22
4009,201908,1810,0,0,0,-38
4009,201909,1838,0,0,0,28
4009,201910,1873,0,0,0,35
4009,201911,1850,0,0,0,-23
4009,201912,1839,0,0,0,-11
4009,202001,1772,0,0,0,-67
4009,202002,1750,0,0,0,-22
4009,202003,1755,0,0,0,5
4009,202004,1760,0,0,0,5
4009,202005,1862,16,0,2,102
4009,202006,1846,175,5,20,-16
4009,202007,1809,179,20,69,-37
4009,202008,1818,88,11,19,9
4009,202009,1841,18,1,2,23
4009,202010,1850,20,1,0,9
4010,201901,226,0,0,0,0
4010,201902,205,0,0,0,-21
4010,201903,221,0,0,0,16
4010,201904,196,0,0,0,-25
4010,201905,198,0,0,0,2
4010,201906,190,0,0,0,-8
4010,201907,172,0,0,0,-18
4010,201908,204,0,0,0,32
4010,201909,219,0,0,0,15
4010,201910,222,0,0,0,3
4010,201911,204,0,0,0,-18
4010,201912,111,0,0,0,-93
4010,202001,195,0,0,0,84
4010,202002,201,0,0,0,6
4010,202003,205,0,0,0,4
4010,202004,200,1,0,1,-5
4010,202005,189,5,2,2,-11
4010,202006,192,16,1,3,3
4010,202007,192,9,1,3,0
4010,202008,191,9,2,3,-1
4010,202009,235,11,2,3,44
4010,202010,238,12,0,1,3
4011,201901,438,0,0,0,0
4011,201902,446,0,0,0,8
4011,201903,451,0,0,0,5
4011,201904,452,0,0,0,1
4011,201905,452,0,0,0,0
4011,201906,443,0,0,0,-9
4011,201907,449,0,0,0,6
4011,201908,447,0,0,0,-2
4011,201909,444,0,0,0,-3
4011,201910,451,0,0,0,7
4011,201911,444,0,0,0,-7
4011,201912,419,0,0,0,-25
4011,202001,465,0,0,0,46
4011,202002,451,0,0,0,-14
4011,202003,478,0,0,0,27
4011,202004,486,10,1,4,8
4011,202005,504,16,3,6,18
4011,202006,491,16,0,5,-13
4011,202007,514,43,6,25,23
4011,202008,525,46,8,7,11
4011,202009,543,6,2,3,18
4011,202010,552,1,1,1,9
5002,201901,54928,0,0,0,0
5002,201902,54843,0,0,0,-85
5002,201903,54424,0,0,0,-419
5002,201904,53989,0,0,0,-435
5002,201905,53880,0,0,0,-109
5002,201906,53551,0,0,0,-329
5002,201907,53922,0,0,0,371
5002,201908,54183,0,0,0,261
5002,201909,54152,0,0,0,-31
5002,201910,53897,0,0,0,-255
5002,201911,53365,0,0,0,-532
5002,201912,51909,0,0,0,-1456
5002,202001,52069,0,0,0,160
5002,202002,52159,0,0,0,90
5002,202003,52082,0,0,0,-77
5002,202004,51139,7,2,2,-943
5002,202005,49908,29,6,4,-1231
5002,202006,48610,513,28,72,-1298
5002,202007,49632,864,122,195,1022
5002,202008,50321,248,35,59,689
5002,202009,50449,166,13,20,128
5002,202010,50665,123,9,13,216
5005,201901,37,0,0,0,0
5005,201902,43,0,0,0,6
5005,201903,43,0,0,0,0
5005,201904,41,0,0,0,-2
5005,201905,18,0,0,0,-23
5005,201906,39,0,0,0,21
5005,201907,32,0,0,0,-7
5005,201908,28,0,0,0,-4
5005,201909,30,0,0,0,2
5005,201910,30,0,0,0,0
5005,201911,31,0,0,0,1
5005,201912,31,0,0,0,0
5005,202001,31,0,0,0,0
5005,202002,33,0,0,0,2
5005,202003,36,0,0,0,3
5005,202004,35,0,0,0,-1
5005,202005,35,0,0,0,0
5005,202006,36,0,0,0,1
5005,202007,34,1,0,1,-2
5005,202008,34,1,1,0,0
5005,202009,35,0,0,0,1
5005,202010,35,5,0,3,0
5006,201901,6332,0,0,0,0
5006,201902,6434,0,0,0,102
5006,201903,6529,0,0,0,95
5006,201904,6601,0,0,0,72
5006,201905,6780,0,0,0,179
5006,201906,6662,0,0,0,-118
5006,201907,6629,0,0,0,-33
5006,201908,6559,0,0,0,-70
5006,201909,6501,0,0,0,-58
5006,201910,6076,0,0,0,-425
5006,201911,6069,0,0,0,-7
5006,201912,5977,0,0,0,-92
5006,202001,5781,0,0,0,-196
5006,202002,5587,0,0,0,-194
5006,202003,5454,2,1,1,-133
5006,202004,5364,9,1,2,-90
5006,202005,4859,8,1,2,-505
5006,202006,4778,8,0,1,-81
5006,202007,4970,26,1,2,192
5006,202008,5303,52,2,9,333
5006,202009,5380,33,8,10,77
5006,202010,5428,30,1,7,48
5007,201901,1088,0,0,0,0
5007,201902,1109,0,0,0,21
5007,201903,1165,0,0,0,56
5007,201904,1197,0,0,0,32
5007,201905,1187,0,0,0,-10
5007,201906,1173,0,0,0,-14
5007,201907,1193,0,0,0,20
5007,201908,1193,0,0,0,0
5007,201909,1179,0,0,0,-14
5007,201910,1180,0,0,0,1
5007,201911,1163,0,0,0,-17
5007,201912,1113,0,0,0,-50
5007,202001,1153,0,0,0,40
5007,202002,1195,0,0,0,42
5007,202003,1200,0,0,0,5
5007,202004,1170,2,0,0,-30
5007,202005,1133,11,0,1,-37
5007,202006,1127,8,0,0,-6
5007,202007,1122,22,2,1,-5
5007,202008,1105,80,0,2,-17
5007,202009,1120,27,1,1,15
5007,202010,1168,125,1,3,48
5008,201901,196,0,0,0,0
5008,201902,196,0,0,0,0
5008,201903,191,0,0,0,-5
5008,201904,185,0,0,0,-6
