"cve_ent","cve_mun","anio","mes","asegurados","casos_diarios","muertos_diarios","hospitalizados_diarios"
"10","032",2020,10,4923,37,6,9
"10","033",2020,1,66,0,0,0
"10","033",2020,2,66,0,0,0
"10","033",2020,3,64,0,0,0
"10","033",2020,4,19,0,0,0
"10","033",2020,5,19,0,0,0
"10","033",2020,6,19,0,0,0
"10","033",2020,7,19,1,0,0
"10","033",2020,8,22,1,0,0
"10","033",2020,9,21,7,2,2
"10","033",2020,10,21,14,1,1
"10","034",2020,1,94,0,0,0
"10","034",2020,2,93,0,0,0
"10","034",2020,3,93,0,0,0
"10","034",2020,4,93,1,0,1
"10","034",2020,5,93,5,1,1
"10","034",2020,6,96,18,1,1
"10","034",2020,7,99,22,0,0
"10","034",2020,8,99,20,0,0
"10","034",2020,9,101,10,1,4
"10","034",2020,10,102,25,1,0
"10","035",2020,1,492,0,0,0
"10","035",2020,2,478,0,0,0
"10","035",2020,3,492,0,0,0
"10","035",2020,4,502,0,0,0
"10","035",2020,5,503,0,0,0
"10","035",2020,6,510,0,0,0
"10","035",2020,7,517,0,0,0
"10","035",2020,8,516,1,0,1
"10","035",2020,9,507,2,0,2
"10","035",2020,10,514,2,0,1
"10","036",2020,1,2621,0,0,0
"10","036",2020,2,2691,0,0,0
"10","036",2020,3,2720,0,0,0
"10","036",2020,4,2806,3,2,3
"10","036",2020,5,2814,29,4,16
"10","036",2020,6,2865,36,8,9
"10","036",2020,7,2976,8,0,0
"10","036",2020,8,2816,2,0,1
"10","036",2020,9,2683,4,1,2
"10","036",2020,10,2518,5,3,3
"10","037",2020,1,451,0,0,0
"10","037",2020,2,445,0,0,0
"10","037",2020,3,456,0,0,0
"10","037",2020,4,411,0,0,0
"10","037",2020,5,444,0,0,0
"10","037",2020,6,434,1,0,0
"10","037",2020,7,429,0,0,0
"10","037",2020,8,437,0,0,0
"10","037",2020,9,422,0,0,0
"10","037",2020,10,432,0,0,0
"10","039",2020,1,1621,0,0,0
"10","039",2020,2,1621,0,0,0
"10","039",2020,3,1635,0,0,0
"10","039",2020,4,1624,0,0,0
"10","039",2020,5,1609,1,0,1
"10","039",2020,6,1629,1,0,1
"10","039",2020,7,1642,4,0,0
"10","039",2020,8,1647,35,1,5
"10","039",2020,9,1704,32,6,7
"10","039",2020,10,1771,127,1,1
"1","004",2020,1,1610,0,0,0
"1","004",2020,2,1662,0,0,0
"1","004",2020,3,1641,0,0,0
"1","004",2020,4,1473,0,0,0
"1","004",2020,5,1447,17,0,2
"1","004",2020,6,1379,25,0,2
"1","004",2020,7,1460,25,0,5
"1","004",2020,8,1576,17,1,8
"1","004",2020,9,1662,2,1,1
"1","004",2020,10,1715,6,0,2
"1","006",2020,1,3142,0,0,0
"1","006",2020,2,3177,0,0,0
"1","006",2020,3,3513,5,0,0
"1","006",2020,4,3294,6,0,1
"1","006",2020,5,3142,25,2,8
